"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed"
"los angeles",2015,20236668800,10136559,1996,300,NA
"los angeles",2015,20236668800,10136559,1996,374,NA
"los angeles",2015,20236668800,10136559,1996,200,NA
"los angeles",2015,20236668800,10136559,1996,415,NA
"los angeles",2016,20636464907,10241335,2015,156,NA
"los angeles",2016,20636464907,10241335,2015,0,NA
"los angeles",2016,20636464907,10241335,2015,4824,NA
"los angeles",2016,20636464907,10241335,2015,1109,NA
"los angeles",2016,20636464907,10241335,2015,5399,NA
"los angeles",2016,20636464907,10241335,2015,0,NA
"los angeles",2016,20636464907,10241335,2015,0,NA
"los angeles",2017,23422437171,10241278,2287,25,NA
"los angeles",2017,23422437171,10241278,2287,50,NA
"los angeles",2017,23422437171,10241278,2287,800,NA
"los angeles",2017,23422437171,10241278,2287,55,NA
"los angeles",2017,23422437171,10241278,2287,6049,6
"los angeles",2017,23422437171,10241278,2287,760,NA
"los angeles",2017,23422437171,10241278,2287,7194,NA
"los angeles",2017,23422437171,10241278,2287,41,NA
"los angeles",2017,23422437171,10241278,2287,30,NA
"los angeles",2017,23422437171,10241278,2287,10,NA
"los angeles",2017,23422437171,10241278,2287,15619,37
"los angeles",2017,23422437171,10241278,2287,135,NA
"los angeles",2017,23422437171,10241278,2287,422,NA
"los angeles",2018,24829342650,10283729,2414,20,NA
"los angeles",2018,24829342650,10283729,2414,3380,NA
"los angeles",2018,24829342650,10283729,2414,1352,NA
"los angeles",2018,24829342650,10283729,2414,166,NA
"los angeles",2018,24829342650,10283729,2414,96949,1643
"los angeles",2018,24829342650,10283729,2414,62,NA
"los angeles",2018,24829342650,10283729,2414,175,NA
"los angeles",2018,24829342650,10283729,2414,128,NA
"los angeles",2019,28159902983,10253716,2746,745,NA
"los angeles",2019,28159902983,10253716,2746,42,NA
"los angeles",2019,28159902983,10253716,2746,156,NA
"los angeles",2019,28159902983,10253716,2746,105,NA
"los angeles",2019,28159902983,10253716,2746,4615,22
"los angeles",2019,28159902983,10253716,2746,8799,19
"madera",2013,186381002,152711,1220,75,NA
"madera",2013,186381002,152711,1220,91,1
"madera",2013,186381002,152711,1220,274,NA
"madera",2013,186381002,152711,1220,482,1
"madera",2013,186381002,152711,1220,15,NA
"madera",2014,183041936,153897,1189,10,NA
"madera",2014,183041936,153897,1189,612,47
"madera",2014,183041936,153897,1189,320,69
"madera",2014,183041936,153897,1189,13838,NA
"madera",2015,206640230,155878,1326,920,3
"madera",2015,206640230,155878,1326,135,NA
"madera",2015,206640230,155878,1326,500,NA
"madera",2015,206640230,155878,1326,5702,NA
"madera",2016,216823054,155349,1396,38,NA
"madera",2016,216823054,155349,1396,85,NA
"madera",2016,216823054,155349,1396,80,NA
"madera",2016,216823054,155349,1396,103,NA
"madera",2017,244396339,156492,1562,429,NA
"madera",2017,244396339,156492,1562,12407,NA
"madera",2017,244396339,156492,1562,48,NA
"madera",2017,244396339,156492,1562,157,NA
"madera",2017,244396339,156492,1562,1431,NA
"madera",2017,244396339,156492,1562,90,NA
"madera",2017,244396339,156492,1562,25,NA
"madera",2017,244396339,156492,1562,150,NA
"madera",2017,244396339,156492,1562,1035,4
"madera",2018,267664692,158894,1685,12,NA
"madera",2018,267664692,158894,1685,4064,NA
"madera",2018,267664692,158894,1685,360,NA
"madera",2018,267664692,158894,1685,60,NA
"madera",2018,267664692,158894,1685,300,NA
"madera",2018,267664692,158894,1685,11,NA
"madera",2018,267664692,158894,1685,88,NA
"madera",2018,267664692,158894,1685,289,NA
"madera",2018,267664692,158894,1685,56,NA
"madera",2019,305627409,159536,1916,213,NA
"marin",2017,554795904,263604,2105,35,NA
"marin",2017,554795904,263604,2105,38,NA
"marin",2018,599287488,263886,2271,12,NA
"marin",2018,599287488,263886,2271,152,NA
"marin",2019,761444825,262879,2897,67,NA
"mariposa",2013,55737470,18026,3092,1708,NA
"mariposa",2014,57679389,18467,3123,4772,NA
"mariposa",2014,57679389,18467,3123,1080,NA
"mariposa",2014,57679389,18467,3123,90,NA
"mariposa",2014,57679389,18467,3123,130,NA
"mariposa",2014,57679389,18467,3123,4689,NA
"mariposa",2014,57679389,18467,3123,79,NA
"mariposa",2014,57679389,18467,3123,311,NA
"mariposa",2014,57679389,18467,3123,300,NA
"mariposa",2014,57679389,18467,3123,677,3
"mariposa",2015,60063662,17791,3376,25,NA
"mariposa",2015,60063662,17791,3376,60,NA
"mariposa",2015,60063662,17791,3376,415,NA
"mariposa",2017,71395521,18148,3934,125,NA
"mariposa",2017,71395521,18148,3934,7000,NA
"mariposa",2017,71395521,18148,3934,225,0
"mariposa",2017,71395521,18148,3934,81826,131
"mariposa",2017,71395521,18148,3934,8094,NA
"mariposa",2017,71395521,18148,3934,10,NA
"mariposa",2017,71395521,18148,3934,63,NA
"mariposa",2017,71395521,18148,3934,36,NA
"mariposa",2017,71395521,18148,3934,0,NA
"mariposa",2017,71395521,18148,3934,17,NA
"mariposa",2017,71395521,18148,3934,630,NA
"mariposa",2017,71395521,18148,3934,680,2
"mariposa",2018,77874291,18129,4296,40,NA
"mariposa",2018,77874291,18129,4296,115,NA
"mariposa",2018,77874291,18129,4296,22,7
"mariposa",2018,77874291,18129,4296,96901,NA
"mariposa",2018,77874291,18129,4296,53,1
"mariposa",2019,82902148,18068,4588,149,NA
"mariposa",2019,82902148,18068,4588,1300,NA
"mariposa",2019,82902148,18068,4588,244,NA
"mariposa",2019,82902148,18068,4588,5563,1
"mariposa",2019,82902148,18068,4588,423,NA
"mendocino",2013,183588351,88291,2079,82,NA
