"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"MENDOCINO",2018,245693086,89299,2751,48920,35,2017,235560312,89134,2019,277498649,89009
"MENDOCINO",2018,245693086,89299,2751,410203,246,2017,235560312,89134,2019,277498649,89009
"MERCED",2015,413448831,266134,1554,1450,NA,2014,405719802,264922,2016,439271510,271579
"MERCED",2015,413448831,266134,1554,1333,NA,2014,405719802,264922,2016,439271510,271579
"MERCED",2016,439271510,271579,1617,1246,NA,2015,413448831,266134,2017,520964183,274665
"MERCED",2017,520964183,274665,1897,1800,NA,2016,439271510,271579,2018,552168265,279977
"MERCED",2018,552168265,279977,1972,4564,NA,2017,520964183,274665,2019,593333567,282928
"MERCED",2018,552168265,279977,1972,1756,NA,2017,520964183,274665,2019,593333567,282928
"MODOC",2014,26943389,9197,2930,13153,6,2013,28451670,9522,2015,30609001,9399
"MODOC",2014,26943389,9197,2930,1469,NA,2013,28451670,9522,2015,30609001,9399
"MODOC",2014,26943389,9197,2930,1651,NA,2013,28451670,9522,2015,30609001,9399
"MODOC",2015,30609001,9399,3257,4863,NA,2014,26943389,9197,2016,31283043,9638
"MODOC",2016,31283043,9638,3246,2652,NA,2015,30609001,9399,2017,30863325,9580
"MODOC",2017,30863325,9580,3222,83120,NA,2016,31283043,9638,2018,31249727,9612
"MODOC",2017,30863325,9580,3222,7697,NA,2016,31283043,9638,2018,31249727,9612
"MODOC",2018,31249727,9612,3251,39387,NA,2017,30863325,9580,2019,34779955,9602
"MODOC",2018,31249727,9612,3251,2100,NA,2017,30863325,9580,2019,34779955,9602
"MODOC",2019,34779955,9602,3622,5737,NA,2018,31249727,9612,2020,38362949,9570
"MODOC",2019,34779955,9602,3622,14217,NA,2018,31249727,9612,2020,38362949,9570
"MONO",2015,52282402,14695,3558,3676,NA,2014,53253721,14143,2016,59722817,13721
"MONO",2015,52282402,14695,3558,7000,40,2014,53253721,14143,2016,59722817,13721
"MONO",2016,59722817,13721,4353,2819,NA,2015,52282402,14695,2017,58065258,13713
"MONO",2017,58065258,13713,4234,8925,NA,2016,59722817,13721,2018,64774317,13822
"MONO",2018,64774317,13822,4686,6974,NA,2017,58065258,13713,2019,65803733,13616
"MONO",2019,65803733,13616,4833,4840,NA,2018,64774317,13822,2020,69249578,13464
"MONTEREY",2014,816486584,425756,1918,4840,NA,2013,802605729,421494,2015,889396769,425413
"MONTEREY",2015,889396769,425413,2091,1086,20,2014,816486584,425756,2016,1015238741,437178
"MONTEREY",2016,1015238741,437178,2322,132127,NA,2015,889396769,425413,2017,1085600914,442365
"MONTEREY",2016,1015238741,437178,2322,2520,NA,2015,889396769,425413,2017,1085600914,442365
"MONTEREY",2016,1015238741,437178,2322,3876,NA,2015,889396769,425413,2017,1085600914,442365
"MONTEREY",2017,1085600914,442365,2454,1816,NA,2016,1015238741,437178,2018,1251119128,443281
"MONTEREY",2018,1251119128,443281,2822,2225,NA,2017,1085600914,442365,2019,1334500225,445414
"MONTEREY",2019,1334500225,445414,2996,2546,NA,2018,1251119128,443281,2020,1348961143,441143
"NAPA",2014,307365157,139255,2207,4300,9,2013,280823358,138383,2015,323583057,140362
"NAPA",2015,323583057,140362,2305,25118,27,2014,307365157,139255,2016,330137626,142028
"NAPA",2017,370217770,142408,2600,56556,1355,2016,330137626,142028,2018,410620823,141294
"NAPA",2017,370217770,142408,2600,51624,120,2016,330137626,142028,2018,410620823,141294
"NAPA",2017,370217770,142408,2600,36807,5636,2016,330137626,142028,2018,410620823,141294
"NAPA",2018,410620823,141294,2906,2490,NA,2017,370217770,142408,2019,441388573,140779
"NAPA",2018,410620823,141294,2906,90288,29,2017,370217770,142408,2019,441388573,140779
"NEVADA",2015,142883250,98193,1455,2304,2,2014,141331655,97225,2016,147735751,98095
"ORANGE",2017,4412670251,3194024,1382,9217,25,2016,3793514681,3183011,2018,4584568142,3221103
"ORANGE",2017,4412670251,3194024,1382,2662,NA,2016,3793514681,3183011,2018,4584568142,3221103
"ORANGE",2018,4584568142,3221103,1423,23136,24,2017,4412670251,3194024,2019,4909268760,3222498
"PLACER",2013,496785824,357463,1390,27440,NA,2012,492184922,355328,2014,561033320,366115
